name,wikidata_id,label,score
geralyn s. ritter,Q115275987,Geralyn S. Ritter,
gerri k. martin-flickinger,,,
gina mastantuono,,,
glenn d. fogel,,,
glenn f. tilton,Q5569148,Glenn Tilton,
glenn m. renwick,,,
gordon a. smith,Q5584785,Gordon A. Smith,
grace d. lieblein,,,
gregory b. penner,Q20177269,Greg Penner,
gregory g. cunningham,,,
gregory j. hayes,Q28922190,Greg Hayes,
gregory p. lewis,,,
gustavo lara cantu,,,
"h. lawrence culp , jr .",Q56868014,H. Lawrence Culp Jr.,
harish manwani,Q5657894,Harish Manwani,
haviv ilan,,,
heather planishek,,,
helen h. hobbs,Q21433424,Helen Hobbs,
helene d. gayle,Q5703847,Helene D. Gayle,
helmut panke,Q75724,Helmut Panke,
herb allen,Q112402298,Herbert Ellis Allen,
herbert a. allen iii,Q16146464,Herbert Allen III,
hock e. tan,Q47672827,Tan Hock Eng,
howard a. willard iii,,,
howard schultz,Q472330,Howard Schultz,
ian c. read,Q1655624,Ian Read,
indra k. nooyi,Q264913,Indra Nooyi,
ivan s. feldman,,,
j. a. doudna,Q56068,Jennifer Doudna,
j. duato,,,
j. erik fyrwald,Q61471321,Erik Fyrwald,
j. mort o'sullivan iii,,,
j. p. froedge,,,
j. r. fletcher,,,
jackson p. tai,,,
jacqueline k. barton,Q1105367,Jaqueline Barton,
jaime ardila,Q117117843,Jaime Ardila,
jamere jackson,Q100816295,Jamere Jackson,
james b. buda,,,
james chosy,,,
"james d. taiclet , jr .",Q110610881,James D. Taiclet,
james dimon,Q922169,Jamie Dimon,
james k. lowder,,,
james l. chosy,,,
james m. may,Q90461366,James M. May,
james n. mattis,Q267902,Jim Mattis,
james quincey,Q27839505,James Quincey,
james r. quincey,,,
james s. crown,Q16185302,James Crown,
james s. tisch,Q6142713,James Tisch,
"james y. kerr , ii",,,
james y. kerr ii,,,
jami dover nachtsheim,,,
jamie e. samath,,,
jamie s. gorelick,Q376800,Jamie S. Gorelick,
jananne a. copeland,,,
jason s. armstrong,,,
jason w. aiken,,,
jean-françois van boxmeer,Q4457610,Jean-François van Boxmeer,
jeffrey a. bluestone,Q26703256,Jeffrey Bluestone,
jeffrey p. bezos,Q312556,Jeff Bezos,
jeffrey williams,Q382202,Jeffrey Williams,
jeffweiner,Q6175245,Jeff Weiner,
jen-hsun huang,Q305177,Jensen Huang,
jennie p. carlson,,,
jennifer l. hamann,,,
jennifer l. taubert,,,
jennifer piepszak,Q63198795,Jennifer Piepszak,
jeremy barnum,,,
jill campbell,Q76277338,Jill Caroline Campbell,
jim r. fletcher,,,
joan t. dea,,,
joe allanson,,,
joel unruch,,,
john,Q328804,John the Evangelist,
john b. frank,Q6219939,John B. Frank,
john c. martin,Q6224536,John C. Martin,
john c. may,Q114359175,John May,
john g. stratton,Q114840869,John Stratton,
"john h. noseworthy , m.d .",Q55975958,John H. Noseworthy,
"john k. adam , jr .",,,
john l. donnelly,,,
john l. hennessy,Q92854,John L. Hennessy,
john l. merino,,,
john m. keane,Q1566344,Jack Keane,
john m. richardson,Q2997321,John M. Richardson,
john murphy,Q627871,John Murphy,
john p. banovetz,,,
john seely brown,Q6257227,John Seely Brown,
john slattery,Q374346,John Slattery,
john t. chamber,Q1393271,John Chambers,
john t. schwieters,,,
john w. ketchum,,,
john w. stanton,Q6262563,John W. Stanton,
john w. thompson,Q3443484,John W. Thompson,
jon m. huntsman jr .,Q11607,Jon Meade Huntsman Jr.,
jonathan j. rubinstein,Q869322,Jon Rubinstein,
joseph c. beery,,,
"joseph feliciani , jr .",,,
joseph j. echevarria,Q114627943,Joe Echevarria,
joshua a. jepsen,,,
juan r. luciano,Q50825788,Juan R. Luciano,
judd a. gregg,Q553116,Judd Gregg,
judith a. mcgrath,Q6303569,Judith McGrath,
julia s. janson,,,
julian b. macqueen,,,
julie c. knecht,,,
julie sweet,Q65515703,Julie Sweet,
julius genachowski,Q6309812,Julius Genachowski,
jérôme x. pécrèsses,,,
k. button bell,,,
k. ram shriram,Q12988436,Ram Shriram,
karen walker,Q6370114,Karen Walker,
karina chavez,Q109796216,Karina Chavez,
"katherine baicker , ph.d .",,,
katherine l. adam,Q6376451,Katherine L. Adams,
kathryn e. wengel,,,
kathy loveless,,,
kcmcclure,,,
keith ferguson,Q1408782,Keith Ferguson,
keith r. leonard jr .,,,
kelcey e. hoyt,,,
kelly a. kramer,Q115629545,Kelly Kramer,
kenneth c. frazier,Q1289900,Kenneth Frazier,
kenneth i. chenault,Q516550,Kenneth Chenault,
"kessel d. stelling , jr .",,,
kevin burke,Q2061806,Kevin Burke,
kevin e. lofton,,,
kevin h. rhodes,,,
kevin r. johnson,Q6396617,Kevin Johnson,
kimberly a. kuryea,,,
kimberly h. johnson,Q125024298,Kimberly H. Johnson,
kimberly j. harris,,,
kimberly n. ellison-taylor,,,
kimberly s. greene,Q109718040,Kim Greene,
kodwo ghartey-tagoe,,,
l. john doerr,Q1380459,John Doerr,
l. karsanbhai,,,
l. kevin cox,,,
lance m. fritz,Q43131853,Lance M. Fritz,
larry,,,
"larry , sergey , eric",,,
larry page,Q4934,Larry Page,
laureen e. seeger,,,
lauren friedman,Q993097,Lauren Frost,
laurence d. fink,Q3218882,Larry Fink,
lawrence l. gellerstedt iii,,,
lawrence w. kellner,Q6490609,Larry Kellner,
leslie a. brun,,,
leslie f. seidman,Q109726715,Leslie Seidman,
lester l. lyles,Q174288,Lester Lyles,
linda hefner filler,,,
linnet f. deily,,,
lisa r. stark,,,
loretta v. cangialosi,,,
lori a. beer,,,
luca maestro,Q89588613,Luca Maestroni,
lynn j. good,Q16866325,Lynn Good,
lynne m. doughtie,Q109771521,Lynne Doughtie,
m. brett biggs,,,
m. h. train,,,
m. j. bulanda,,,
marc bolland,Q3030584,Marc Bolland,
marc d. power,,,
marc johnson,Q1375699,Marc Johnson,
marcelo claure,Q15728648,Marcelo Claure,
maria m. klawe,Q11754,Maria Klawe,
marianne c. brown,Q19865738,Marianne C. Brown,
